Centro,Tipologia,Id encuesta,Total Encuestas,Total Completas,Total Parciales,Nuevas Completas Hoy,Nuevas Parciales Hoy,Nuevas Completas D-1,Nuevas Parciales D-1,Nuevas Completas D-2,Nuevas Parciales D-2,Nuevas Completas D-3,Nuevas Parciales D-3,Nuevas Completas D-4,Nuevas Parciales D-4,Nuevas Completas D-5,Nuevas Parciales D-5,Nuevas Completas D-6,Nuevas Parciales D-6,Nuevas Completas D-7,Nuevas Parciales D-7,Nuevas Completas D-8,Nuevas Parciales D-8,Nuevas Completas D-9,Nuevas Parciales D-9
COLEGIO INTERNACIONAL KOLBE,Secundaria,191569,315,266,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,49
COLEGIO INTERNACIONAL KOLBE,Profesorado,529616,28,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13
CEIP CLARA CAMPOAMOR,Primaria,826267,90,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,1
CEIP CLARA CAMPOAMOR,Secundaria,836197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP CLARA CAMPOAMOR,Profesorado,675474,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CPEIP Larraga S. Miguel HLHIP,Primaria,262467,48,35,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35,12
CPEIP Larraga S. Miguel HLHIP,Secundaria,295816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPEIP Larraga S. Miguel HLHIP,Profesorado,478942,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
CPEIP AZPILAGAÑA ,Primaria,495512,58,45,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,13
CPEIP AZPILAGAÑA ,Secundaria,228293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPEIP AZPILAGAÑA ,Profesorado,152872,21,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7
